parent	names	summary	details	attribute
spatialVector	physical	Description of the physical format of the entity		FALSE
spatialVector	coverage	Information on the geographic, spatial and temporal coverages used in this entity.		FALSE
spatialVector	methods			FALSE
spatialVector	additionalInfo	Any extra information pertitent to the entity.		FALSE
spatialVector	attributeList	The list of attributes associated with this entity.		FALSE
spatialVector	constraint	Description of any relational constraints on this entity.		FALSE
spatialVector	geometry	Type of geometric feature(s) represented in the entity.		FALSE
spatialVector	geometricObjectCount	Total number of the geometric objects occurring in the dataset.		FALSE
spatialVector	topologyLevel	Code which identifies the degree of complexity.		FALSE
spatialVector	spatialReference			FALSE
spatialVector	horizontalAccuracy	Horizontal positional accuracy of the data		FALSE
spatialVector	verticalAccuracy	Vertical positional accuracy of the data		FALSE
spatialVector	references	The id of another element in this EML document to be used to here in this context.		FALSE
spatialVector	id			TRUE
spatialVector	system			TRUE
spatialVector	scope			TRUE
storedProcedure	alternateIdentifier	A secondary identifier for this entity		FALSE
storedProcedure	entityName	The name of the entity name		FALSE
storedProcedure	entityDescription	General description of the entity and its contents		FALSE
storedProcedure	physical	Description of the physical format of the entity		FALSE
storedProcedure	coverage	Information on the geographic, spatial and temporal coverages used in this entity.		FALSE
storedProcedure	methods			FALSE
storedProcedure	additionalInfo	Any extra information pertitent to the entity.		FALSE
storedProcedure	attributeList	The list of attributes associated with this entity.		FALSE
storedProcedure	constraint			FALSE
storedProcedure	parameter	A parameter that is required as input to the stored procedure.		FALSE
storedProcedure	references	The id of another element in this EML document to be used to here in this context.		FALSE
storedProcedure	id			TRUE
storedProcedure	system			TRUE
storedProcedure	scope			TRUE
view	alternateIdentifier	A secondary identifier for this entity		FALSE
view	entityName	The name of the entity name		FALSE
view	entityDescription	General description of the entity and its contents		FALSE
view	physical	Description of the physical format of the entity		FALSE
view	coverage	Information on the geographic, spatial and temporal coverages used in this entity.		FALSE
view	methods			FALSE
view	additionalInfo	Any extra information pertitent to the entity.		FALSE
view	attributeList	The list of attributes associated with this entity.		FALSE
view	constraint			FALSE
view	queryStatement	Query syntax that produced the view		FALSE
view	references	The id of another element in this EML document to be used to here in this context.		FALSE
view	id			TRUE
view	system			TRUE
view	scope			TRUE
otherEntity	alternateIdentifier	A secondary identifier for this entity		FALSE
otherEntity	entityName	The name of the entity name		FALSE
otherEntity	entityDescription	General description of the entity and its contents		FALSE
otherEntity	physical	Description of the physical format of the entity		FALSE
otherEntity	coverage	Information on the geographic, spatial and temporal coverages used in this entity.		FALSE
otherEntity	methods			FALSE
otherEntity	additionalInfo	Any extra information pertitent to the entity.		FALSE
otherEntity	attributeList	The list of attributes associated with this entity.		FALSE
otherEntity	constraint			FALSE
otherEntity	entityType	Contains the name of the type for this entity.		FALSE
otherEntity	references	The id of another element in this EML document to be used to here in this context.		FALSE
otherEntity	id			TRUE
otherEntity	system			TRUE
otherEntity	scope			TRUE
description	section	A section of related text.		FALSE
description	para	A simple paragraph of text.		FALSE
description	xml:lang			TRUE
changeHistory	changeScope	An expression describing the scope to which the documented change was applied.		FALSE
changeHistory	oldValue	The previous value of the data prior to the change.		FALSE
changeHistory	changeDate	The date the changes were applied.		FALSE
changeHistory	comment	Explanation or justification for the change made to the data.		FALSE
constraint	primaryKey	The primary key in the entity		FALSE
constraint	uniqueKey	A unique key in the entity		FALSE
constraint	checkConstraint	A constraint which checks a conditional clause within an entity.		FALSE
constraint	foreignKey	A foreign key relationship among entities		FALSE
constraint	joinCondition	A non primary/foreign key join		FALSE
constraint	notNullConstraint	A constraint that indicates that no null values should be present for an attribute.		FALSE
constraint	id			TRUE
constraint	system			TRUE
constraint	scope			TRUE
moduleDocs	moduleName			FALSE
moduleDocs	moduleDescription			FALSE
moduleDocs	recommendedUsage			FALSE
moduleDocs	standAlone			FALSE
moduleDescription	section	A section of related text.		FALSE
moduleDescription	para	A simple paragraph of text.		FALSE
moduleDescription	xml:lang			TRUE
example	section	A section of related text.		FALSE
example	para	A simple paragraph of text.		FALSE
example	xml:lang			TRUE
alternateIdentifier	system	The system in which this id is relevant		TRUE
physical	objectName	The name of the data object.		FALSE
physical	size	Describes the physical size of the data object.		FALSE
physical	authentication	A value, typically a checksum, used to authenticate that the bitstream delivered to the user is identical to the original.		FALSE
physical	compressionMethod	Name of a compression method applied		FALSE
physical	encodingMethod	Name of a encoding method applied		FALSE
physical	characterEncoding	Contains the name of the character encoding used for the data.		FALSE
physical	dataFormat	Describes the internal physical format of a data object.		FALSE
physical	distribution	Information on how the resource is distributed online and offline		FALSE
physical	references	The id of another element in this EML document to be used to here in this context.		FALSE
physical	id			TRUE
physical	system			TRUE
physical	scope			TRUE
additionalInfo	section	A section of related text.		FALSE
additionalInfo	para	A simple paragraph of text.		FALSE
additionalInfo	xml:lang			TRUE
article	journal	The name of the journal, magazine, newspaper, zine, etc... in which the article was published.		FALSE
article	volume	The volume of the journal in which the article appears		FALSE
article	issue	The issue of the journal in which the article appears		FALSE
article	pageRange	The beginning and end page numbers of the journal article		FALSE
article	publisher	Organization that actually publishes the article		FALSE
article	publicationPlace	The location at which the work was published.		FALSE
article	ISSN	The unique Internation Standard Serial Number		FALSE
book	publisher	Organization that actually publishes the book		FALSE
book	publicationPlace	The location at which the work was published.		FALSE
book	edition	The edition of the book being described.		FALSE
book	volume	The volume of the book that is part of a series.		FALSE
book	numberOfVolumes	Number of volumes in a collection		FALSE
book	totalPages	The total number of pages in the book.		FALSE
book	totalFigures	The total number of figures in the book.		FALSE
book	totalTables	The total number of tables in a book.		FALSE
book	ISBN	The unique Internation Standard Book Number		FALSE
chapter	publisher	Organization that actually publishes the book		FALSE
chapter	publicationPlace	The location at which the work was published.		FALSE
chapter	edition	The edition of the book being described.		FALSE
chapter	volume	The volume of the book that is part of a series.		FALSE
chapter	numberOfVolumes	Number of volumes in a collection		FALSE
chapter	totalPages	The total number of pages in the book.		FALSE
chapter	totalFigures	The total number of figures in the book.		FALSE
chapter	totalTables	The total number of tables in a book.		FALSE
chapter	ISBN	The unique Internation Standard Book Number		FALSE
chapter	chapterNumber	The chapter number of interest within a book		FALSE
chapter	editor	The name of the editor of the book.		FALSE
chapter	bookTitle	The title of the book.		FALSE
chapter	pageRange	The beginning and ending page numbers of a chapter.		FALSE
editedBook	publisher	Organization that actually publishes the book		FALSE
editedBook	publicationPlace	The location at which the work was published.		FALSE
editedBook	edition	The edition of the book being described.		FALSE
editedBook	volume	The volume of the book that is part of a series.		FALSE
editedBook	numberOfVolumes	Number of volumes in a collection		FALSE
editedBook	totalPages	The total number of pages in the book.		FALSE
editedBook	totalFigures	The total number of figures in the book.		FALSE
editedBook	totalTables	The total number of tables in a book.		FALSE
editedBook	ISBN	The unique Internation Standard Book Number		FALSE
manuscript	institution	The address and contact information needed to request a manuscript.		FALSE
manuscript	totalPages	The total number of pages in the manuscript.		FALSE
report	reportNumber	The unique identification number assigned to the report.		FALSE
report	publisher	Organization that actually publishes the report		FALSE
report	publicationPlace	The location at which the work was published.		FALSE
report	totalPages	The total number of pages in the report.		FALSE
thesis	degree	The name or degree level for which the thesis was completed.		FALSE
thesis	institution	The name of the degree-awarding institution		FALSE
thesis	totalPages	The total number of pages in the thesis.		FALSE
conferenceProceedings	publisher	Organization that actually publishes the book		FALSE
conferenceProceedings	publicationPlace	The location at which the work was published.		FALSE
conferenceProceedings	edition	The edition of the book being described.		FALSE
conferenceProceedings	volume	The volume of the book that is part of a series.		FALSE
conferenceProceedings	numberOfVolumes	Number of volumes in a collection		FALSE
conferenceProceedings	totalPages	The total number of pages in the book.		FALSE
conferenceProceedings	totalFigures	The total number of figures in the book.		FALSE
conferenceProceedings	totalTables	The total number of tables in a book.		FALSE
conferenceProceedings	ISBN	The unique Internation Standard Book Number		FALSE
conferenceProceedings	chapterNumber	The chapter number of interest within a book		FALSE
conferenceProceedings	editor	The name of the editor of the book.		FALSE
conferenceProceedings	bookTitle	The title of the book.		FALSE
conferenceProceedings	pageRange	The beginning and ending page numbers of a chapter.		FALSE
conferenceProceedings	conferenceName	The name of the conference whose proceedings have been published.		FALSE
conferenceProceedings	conferenceDate	The date the conference was held.		FALSE
conferenceProceedings	conferenceLocation	The location where the conference was held.		FALSE
personalCommunication	publisher	Organization that actually publishes the communication		FALSE
personalCommunication	publicationPlace	The location at which the work was published.		FALSE
personalCommunication	communicationType	The type of personal communication.		FALSE
personalCommunication	recipient	Recipient of the communication		FALSE
map	publisher	Organization that actually publishes the map		FALSE
map	edition	The edition of the map being described.		FALSE
map	geographicCoverage	Description of the geographic area which the map covers		FALSE
map	scale	The Map's scale		FALSE
generic	publisher	Organization which actually publishes the reference		FALSE
generic	publicationPlace	The location at which the work was published.		FALSE
generic	referenceType	The type of reference.		FALSE
generic	volume	The volume of the reference that is part of a series.		FALSE
generic	numberOfVolumes	Number of volumes in a collection		FALSE
generic	totalPages	The total number of pages in the references.		FALSE
generic	totalFigures	The total number of figures in the reference.		FALSE
generic	totalTables	The total number of tables in a reference.		FALSE
generic	edition	The edition of the generic reference being described.		FALSE
generic	originalPublication	References current publication to its original.		FALSE
generic	reprintEdition	Reference for current edition that was originally published under a different title.		FALSE
generic	reviewedItem	Reference types that are reviews of other references.		FALSE
generic	ISBN	The unique Internation Standard Book Number		FALSE
generic	ISSN	The unique Internation Standard Serial Number		FALSE
audioVisual	publisher	Organization which actually distributes the video, film, the broadcaster etc...		FALSE
audioVisual	publicationPlace	The location at which the work was published.		FALSE
audioVisual	performer	The performers in the audio visual production		FALSE
audioVisual	ISBN	The unique Internation Standard Book Number		FALSE
presentation	conferenceName	The name of the conference at which this presentation was given.		FALSE
presentation	conferenceDate	The date the conference was held.		FALSE
presentation	conferenceLocation	The location where the conference was held.		FALSE
editor	individualName	The full name of the person being described		FALSE
editor	organizationName	The full name of the organization being described		FALSE
editor	positionName	The name of the title or position associated with the resource.		FALSE
editor	address	The full address information for a given responsible party entry.		FALSE
editor	phone	Information about the contact's telephone		FALSE
editor	electronicMailAddress	The email address of the contact.		FALSE
editor	onlineUrl	A link to associated online information, usually a web site.		FALSE
editor	userId	An identifier that links this party to a directory of personnel		FALSE
editor	references	The id of another element in this EML document to be used to here in this context.		FALSE
editor	id			TRUE
editor	system			TRUE
editor	scope			TRUE
conferenceLocation	deliveryPoint	The location for postal deliveries.		FALSE
conferenceLocation	city	The name of the city for the contact.		FALSE
conferenceLocation	administrativeArea	The political area of a country.		FALSE
conferenceLocation	postalCode	The postal code used for routing to an address.		FALSE
conferenceLocation	country	The name of the country for the contact's address.		FALSE
conferenceLocation	references	The id of another element in this EML document to be used to here in this context.		FALSE
conferenceLocation	id			TRUE
conferenceLocation	system			TRUE
conferenceLocation	scope			TRUE
institution	individualName	The full name of the person being described		FALSE
institution	organizationName	The full name of the organization being described		FALSE
institution	positionName	The name of the title or position associated with the resource.		FALSE
institution	address	The full address information for a given responsible party entry.		FALSE
institution	phone	Information about the contact's telephone		FALSE
institution	electronicMailAddress	The email address of the contact.		FALSE
institution	onlineUrl	A link to associated online information, usually a web site.		FALSE
institution	userId	An identifier that links this party to a directory of personnel		FALSE
institution	references	The id of another element in this EML document to be used to here in this context.		FALSE
institution	id			TRUE
institution	system			TRUE
institution	scope			TRUE
recipient	individualName	The full name of the person being described		FALSE
recipient	organizationName	The full name of the organization being described		FALSE
recipient	positionName	The name of the title or position associated with the resource.		FALSE
recipient	address	The full address information for a given responsible party entry.		FALSE
recipient	phone	Information about the contact's telephone		FALSE
recipient	electronicMailAddress	The email address of the contact.		FALSE
recipient	onlineUrl	A link to associated online information, usually a web site.		FALSE
recipient	userId	An identifier that links this party to a directory of personnel		FALSE
recipient	references	The id of another element in this EML document to be used to here in this context.		FALSE
recipient	id			TRUE
recipient	system			TRUE
recipient	scope			TRUE
performer	individualName	The full name of the person being described		FALSE
performer	organizationName	The full name of the organization being described		FALSE
performer	positionName	The name of the title or position associated with the resource.		FALSE
performer	address	The full address information for a given responsible party entry.		FALSE
performer	phone	Information about the contact's telephone		FALSE
performer	electronicMailAddress	The email address of the contact.		FALSE
performer	onlineUrl	A link to associated online information, usually a web site.		FALSE
performer	userId	An identifier that links this party to a directory of personnel		FALSE
performer	references	The id of another element in this EML document to be used to here in this context.		FALSE
performer	id			TRUE
performer	system			TRUE
performer	scope			TRUE
methodStep	description	Description of the methods employed in collecting or generating a data set or other resource or in quality control and assurance.		FALSE
methodStep	citation	Literature citation relating to the methods used.		FALSE
methodStep	protocol	Protocol description relating to the methods used.		FALSE
methodStep	instrumentation	Instruments used for measurement and recording data.		FALSE
methodStep	software	Software used in the processing of data.		FALSE
methodStep	subStep			FALSE
methodStep	dataSource	A source of data used by this methodStep.		FALSE
dataSource	alternateIdentifier	A secondary identifier for this entity		FALSE
dataSource	shortName	A short name that describes the resource, sometimes a filename.		FALSE
dataSource	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
dataSource	creator	The people or organizations who created this resource.		FALSE
dataSource	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
dataSource	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
dataSource	pubDate	The publication date of the resource.		FALSE
dataSource	language	The language in which the resource is written.		FALSE
dataSource	series	The series from which the resource came.		FALSE
dataSource	abstract	A brief overview of the resource.		FALSE
dataSource	keywordSet	Keyword information that describes the resource.		FALSE
dataSource	additionalInfo	Any extra information pertitent to the resource.		FALSE
dataSource	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
dataSource	distribution	Information on how the resource is distributed online and offline		FALSE
dataSource	coverage	Extent of the coverage of the resource.		FALSE
dataSource	purpose	A description of the purpose of this dataset.		FALSE
dataSource	maintenance	A description of the maintenance of this data resource.		FALSE
dataSource	contact	The contact for this dataset		FALSE
dataSource	publisher	The publisher of this data set		FALSE
dataSource	pubPlace	The location that the resource was published.		FALSE
dataSource	methods	The methods field documents scientific methods used in the collection of this dataset.		FALSE
dataSource	project	The project field contains information on the project in which this dataset was collected.		FALSE
dataSource	dataTable	The dataTable field documents the dataTable(s) that make up this dataset.		FALSE
dataSource	spatialRaster	The spatialRaster field describes any spatial raster images included in this dataset.		FALSE
dataSource	spatialVector	The spatialVector field describes any spatial vectors included in this dataset.		FALSE
dataSource	storedProcedure	The storedProcedure field contains information about any stored procedures included with this dataset.		FALSE
dataSource	view	The view field contains information about any views included with this dataset.		FALSE
dataSource	otherEntity	The otherEntity field contains information about any entity in the dataset that is not any of the preceding entities.		FALSE
dataSource	references	The id of another element in this EML document to be used to here in this context.		FALSE
dataSource	id			TRUE
dataSource	system			TRUE
dataSource	scope			TRUE
sampling	studyExtent	A description of the geographic area sampled (geographic coverage), the sampling frequency (temporal coverage), and living organisms sampled (taxonomic coverage.		FALSE
sampling	samplingDescription	A description of sampling methods and procedures		FALSE
sampling	spatialSamplingUnits	Spatial sampling units represent the plots sampled.		FALSE
sampling	citation	Literature citation relating to the sampling procedures used.		FALSE
studyExtent	coverage	A description of the geographic area sampled (geographic coverage), the sampling frequency (temporal coverage), and living organisms sampled (taxonomic coverage.		FALSE
studyExtent	description	A textual description of the specific areas sampled (geographic coverage), the sampling frequency (temporal coverage), and groups of living organisms sampled (taxonomic coverage).		FALSE
samplingDescription	section	A section of related text.		FALSE
samplingDescription	para	A simple paragraph of text.		FALSE
samplingDescription	xml:lang			TRUE
spatialSamplingUnits	referencedEntityId	The identifier of an entity described in the entity module. This is usually a GIS layer.		FALSE
spatialSamplingUnits	coverage	Structured description of each sampling unit location		FALSE
coverage	geographicDescription	Short text description of the geographic areal domain of the data set.		FALSE
coverage	boundingCoordinates	The four margins (N, S, E, W) of a bounding box on the earth's surface, or when considered in lat-lon pairs, the corners of the box. To define a single point, use the same value in each lat or lon pair. These elements are meant to convey general information and are not for accurate mapping. More specific information may be included by using the elements in the spatialReference schema.		FALSE
coverage	datasetGPolygon	This construct creates a spatial ring with a hollow center.		FALSE
qualityControl	description	Description of the methods employed in collecting or generating a data set or other resource or in quality control and assurance.		FALSE
qualityControl	citation	Literature citation relating to the methods used.		FALSE
qualityControl	protocol	Protocol description relating to the methods used.		FALSE
qualityControl	instrumentation	Instruments used for measurement and recording data.		FALSE
qualityControl	software	Software used in the processing of data.		FALSE
qualityControl	subStep			FALSE
protocol	alternateIdentifier	A secondary identifier for this entity		FALSE
protocol	shortName	A short name that describes the resource, sometimes a filename.		FALSE
protocol	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
protocol	creator	The people or organizations who created this resource.		FALSE
protocol	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
protocol	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
protocol	pubDate	The publication date of the resource.		FALSE
protocol	language	The language in which the resource is written.		FALSE
protocol	series	The series from which the resource came.		FALSE
protocol	abstract	A brief overview of the resource.		FALSE
protocol	keywordSet	Keyword information that describes the resource.		FALSE
protocol	additionalInfo	Any extra information pertitent to the resource.		FALSE
protocol	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
protocol	distribution	Information on how the resource is distributed online and offline		FALSE
protocol	coverage	Extent of the coverage of the resource.		FALSE
protocol	proceduralStep			FALSE
protocol	references	The id of another element in this EML document to be used to here in this context.		FALSE
protocol	id			TRUE
protocol	system			TRUE
protocol	scope			TRUE
software	alternateIdentifier	A secondary identifier for this entity		FALSE
software	shortName	A short name that describes the resource, sometimes a filename.		FALSE
software	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
software	creator	The people or organizations who created this resource.		FALSE
software	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
software	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
software	pubDate	The publication date of the resource.		FALSE
software	language	The language in which the resource is written.		FALSE
software	series	The series from which the resource came.		FALSE
software	abstract	A brief overview of the resource.		FALSE
software	keywordSet	Keyword information that describes the resource.		FALSE
software	additionalInfo	Any extra information pertitent to the resource.		FALSE
software	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
software	distribution	Information on how the resource is distributed online and offline		FALSE
software	coverage	Extent of the coverage of the resource.		FALSE
software	implementation	Describes the hardware and/or operating system requirements for one implementation of a package.		FALSE
software	dependency	This fields documents any dependencies that this software package in general might have.		FALSE
software	licenseURL	URL where the license can be found		FALSE
software	license	Text of the license		FALSE
software	version	Version of the software being packaged.		FALSE
software	project			FALSE
software	references	The id of another element in this EML document to be used to here in this context.		FALSE
software	id			TRUE
software	system			TRUE
software	scope			TRUE
subStep	description	Description of the methods employed in collecting or generating a data set or other resource or in quality control and assurance.		FALSE
subStep	citation	Literature citation relating to the methods used.		FALSE
subStep	protocol	Protocol description relating to the methods used.		FALSE
subStep	instrumentation	Instruments used for measurement and recording data.		FALSE
subStep	software	Software used in the processing of data.		FALSE
subStep	subStep			FALSE
individualName	salutation	The salutation used to address an individual		FALSE
individualName	givenName	The given name of the individual.		FALSE
individualName	surName	The last name of the individual.		FALSE
organizationName	value			FALSE
organizationName	xml:lang			TRUE
positionName	value			FALSE
positionName	xml:lang			TRUE
address	deliveryPoint	The location for postal deliveries.		FALSE
address	city	The name of the city for the contact.		FALSE
address	administrativeArea	The political area of a country.		FALSE
address	postalCode	The postal code used for routing to an address.		FALSE
address	country	The name of the country for the contact's address.		FALSE
address	references	The id of another element in this EML document to be used to here in this context.		FALSE
address	id			TRUE
address	system			TRUE
address	scope			TRUE
phone	phonetype	The type of the phone to which this number applies		TRUE
electronicMailAddress	value			FALSE
electronicMailAddress	xml:lang			TRUE
userId	directory	The directory system within which the directoryId can be retrieved.		TRUE
salutation	value			FALSE
salutation	xml:lang			TRUE
givenName	value			FALSE
givenName	xml:lang			TRUE
surName	value			FALSE
surName	xml:lang			TRUE
deliveryPoint	value			FALSE
deliveryPoint	xml:lang			TRUE
city	value			FALSE
city	xml:lang			TRUE
administrativeArea	value			FALSE
administrativeArea	xml:lang			TRUE
postalCode	value			FALSE
postalCode	xml:lang			TRUE
country	value			FALSE
country	xml:lang			TRUE
party	individualName	The full name of the person being described		FALSE
party	organizationName	The full name of the organization being described		FALSE
party	positionName	The name of the title or position associated with the resource.		FALSE
party	address	The full address information for a given responsible party entry.		FALSE
party	phone	Information about the contact's telephone		FALSE
party	electronicMailAddress	The email address of the contact.		FALSE
party	onlineUrl	A link to associated online information, usually a web site.		FALSE
party	userId	An identifier that links this party to a directory of personnel		FALSE
party	references	The id of another element in this EML document to be used to here in this context.		FALSE
party	id			TRUE
party	system			TRUE
party	scope			TRUE
size	unit	Unit of measurement for the entity size, by default byte		TRUE
authentication	method	The method used to calculate an authentication checksum.		TRUE
dataFormat	textFormat	Description of a text formatted object		FALSE
dataFormat	externallyDefinedFormat	Information about a non-text or proprietary formatted object.		FALSE
dataFormat	binaryRasterFormat	Contains binary raster data header parameters		FALSE
textFormat	numHeaderLines	Number of header lines preceding data.		FALSE
textFormat	numFooterLines	Number of footer lines following data.		FALSE
textFormat	recordDelimiter	Character used to delimit records.		FALSE
textFormat	physicalLineDelimiter	Character used to delimit physical lines.		FALSE
textFormat	numPhysicalLinesPerRecord	The number of physical lines in the file spanned by a single logical data record.		FALSE
textFormat	maxRecordLength	The maximum number of characters in any record in the physical file.		FALSE
textFormat	attributeOrientation	Orientation of attributes.		FALSE
textFormat	simpleDelimited	A simple delimited format.		FALSE
textFormat	complex	A complex text format.		FALSE
simpleDelimited	fieldDelimiter	Character used to delimit the end of an attribute		FALSE
simpleDelimited	collapseDelimiters	Specification of how to handle consecutive delimiters while parsing		FALSE
simpleDelimited	quoteCharacter	Character used to quote values for delimiter escaping		FALSE
simpleDelimited	literalCharacter	Character used to escape other special characters		FALSE
complex	textFixed	Describes the physical format of data sequences that use a fixed number of characters in a specified position in the stream to locate attribute values.		FALSE
complex	textDelimited	Describes the physical format of data sequences that use delimiters in the stream to locate attribute values.		FALSE
textFixed	fieldWidth	Field width in characters for fixed field length.		FALSE
textFixed	lineNumber	The line on which the data field is found, when the data record is written over more than one physical line in the file.		FALSE
textFixed	fieldStartColumn	The starting column number for a fixed format attribute.		FALSE
textDelimited	fieldDelimiter	Character used to delimit the end of a particular attribute		FALSE
textDelimited	collapseDelimiters	Specification of how to handle consecutive delimiters while parsing		FALSE
textDelimited	lineNumber	The line on which the data field is found, when the data record is written over more than one physical line in the file.		FALSE
textDelimited	quoteCharacter	Character used to quote values for delimiter escaping		FALSE
textDelimited	literalCharacter	Character used to escape other special characters		FALSE
externallyDefinedFormat	formatName	Name of the format of the data object		FALSE
externallyDefinedFormat	formatVersion	Version of the format of the data object		FALSE
externallyDefinedFormat	citation	Citation providing more details about the physical format.		FALSE
binaryRasterFormat	rowColumnOrientation	Orientation for reading rows and columns.		FALSE
binaryRasterFormat	multiBand	Multiple band image information.		FALSE
binaryRasterFormat	nbits	The number of bits per pixel per band.		FALSE
binaryRasterFormat	byteorder	The byte order in which values are stored.		FALSE
binaryRasterFormat	skipbytes	The number of bytes of data in the image file to skip in order to reach the start of the image data.		FALSE
binaryRasterFormat	bandrowbytes	The number of bytes per band per row.		FALSE
binaryRasterFormat	totalrowbytes	The total number of bytes of data per row.		FALSE
binaryRasterFormat	bandgapbytes	The number of bytes between bands in a BSQ format image.		FALSE
multiBand	nbands	The number of spectral bands in the image.		FALSE
multiBand	layout	The organization of the bands in the image file.		FALSE
distribution	online	online		FALSE
distribution	offline	offline		FALSE
distribution	inline	inline		FALSE
distribution	access	access		FALSE
distribution	references	The id of another element in this EML document to be used to here in this context.		FALSE
distribution	id			TRUE
distribution	system			TRUE
distribution	scope			TRUE
online	onlineDescription	onlineDescription		FALSE
online	url	url		FALSE
online	connection	connection		FALSE
offline	mediumName	Name of the medium that for this resource distribution		FALSE
offline	mediumDensity	the density of the digital medium if this is relevant.		FALSE
offline	mediumDensityUnits	a numerical density's units		FALSE
offline	mediumVolume	total volume of the storage medium		FALSE
offline	mediumFormat	format of the medium on which the resource is shipped.		FALSE
offline	mediumNote	note about the media		FALSE
url	function			TRUE
connection	connectionDefinition	Connection Definition		FALSE
connection	parameter	A parameter to be used to make this connection.		FALSE
connection	references	The id of another element in this EML document to be used to here in this context.		FALSE
connection	id			TRUE
connection	system			TRUE
connection	scope			TRUE
researchProject	title	Title of the project.		FALSE
researchProject	personnel	Contact and role information for people involved in the research project.		FALSE
researchProject	abstract	Project Abstract.		FALSE
researchProject	funding	Funding information.		FALSE
researchProject	studyAreaDescription	Description of the physical area associated with the research project, potentially including coverage, climate, geology, disturbances, etc.		FALSE
researchProject	designDescription	Description of the design of the research project		FALSE
researchProject	relatedProject	This field is a recursive link to another project.		FALSE
researchProject	references	The id of another element in this EML document to be used to here in this context.		FALSE
researchProject	id			TRUE
researchProject	system			TRUE
researchProject	scope			TRUE
personnel	individualName	The full name of the person being described		FALSE
personnel	organizationName	The full name of the organization being described		FALSE
personnel	positionName	The name of the title or position associated with the resource.		FALSE
personnel	address	The full address information for a given responsible party entry.		FALSE
personnel	phone	Information about the contact's telephone		FALSE
personnel	electronicMailAddress	The email address of the contact.		FALSE
personnel	onlineUrl	A link to associated online information, usually a web site.		FALSE
personnel	userId	An identifier that links this party to a directory of personnel		FALSE
personnel	references	The id of another element in this EML document to be used to here in this context.		FALSE
personnel	id			TRUE
personnel	system			TRUE
personnel	scope			TRUE
personnel	role	Role information for people involved in the research project.		FALSE
abstract	section	A section of related text.		FALSE
abstract	para	A simple paragraph of text.		FALSE
abstract	xml:lang			TRUE
funding	section	A section of related text.		FALSE
funding	para	A simple paragraph of text.		FALSE
funding	xml:lang			TRUE
studyAreaDescription	descriptor	Description of non-coverage characteristics of the study area such as climate, geology, disturbances		FALSE
studyAreaDescription	citation	The citation for this descriptor.		FALSE
studyAreaDescription	coverage	The coverage of this descriptor.		FALSE
descriptor	descriptorValue	Description of some aspect of the study area.		FALSE
descriptor	citation	A citation for this descriptor.		FALSE
descriptor	name	The name of the descriptor system.		TRUE
descriptor	citableClassificationSystem	This boolean attribute defines whether this descriptor comes from a citable classification system or not.		TRUE
descriptorValue	name_or_id	The name part of a name/value pair of a descriptor; or ID portion of a classification, if applicable.		TRUE
designDescription	description	Textual description of research design.		FALSE
designDescription	citation	Citation that describes the research design.		FALSE
relatedProject	title	Title of the project.		FALSE
relatedProject	personnel	Contact and role information for people involved in the research project.		FALSE
relatedProject	abstract	Project Abstract.		FALSE
relatedProject	funding	Funding information.		FALSE
relatedProject	studyAreaDescription	Description of the physical area associated with the research project, potentially including coverage, climate, geology, disturbances, etc.		FALSE
relatedProject	designDescription	Description of the design of the research project		FALSE
relatedProject	relatedProject	This field is a recursive link to another project.		FALSE
relatedProject	references	The id of another element in this EML document to be used to here in this context.		FALSE
relatedProject	id			TRUE
relatedProject	system			TRUE
relatedProject	scope			TRUE
proceduralStep	description	Description of the methods employed in collecting or generating a data set or other resource or in quality control and assurance.		FALSE
proceduralStep	citation	Literature citation relating to the methods used.		FALSE
proceduralStep	protocol	Protocol description relating to the methods used.		FALSE
proceduralStep	instrumentation	Instruments used for measurement and recording data.		FALSE
proceduralStep	software	Software used in the processing of data.		FALSE
proceduralStep	subStep			FALSE
alternateIdentifier	system			TRUE
title	value			FALSE
title	xml:lang			TRUE
creator	individualName	The full name of the person being described		FALSE
creator	organizationName	The full name of the organization being described		FALSE
creator	positionName	The name of the title or position associated with the resource.		FALSE
creator	address	The full address information for a given responsible party entry.		FALSE
creator	phone	Information about the contact's telephone		FALSE
creator	electronicMailAddress	The email address of the contact.		FALSE
creator	onlineUrl	A link to associated online information, usually a web site.		FALSE
creator	userId	An identifier that links this party to a directory of personnel		FALSE
creator	references	The id of another element in this EML document to be used to here in this context.		FALSE
creator	id			TRUE
creator	system			TRUE
creator	scope			TRUE
metadataProvider	individualName	The full name of the person being described		FALSE
metadataProvider	organizationName	The full name of the organization being described		FALSE
